Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,0.7508333333333334,0.45286195286195285,0.6081386586284853,0.5191379864908331,0.766533393989522
Random Forest,0.7848333333333334,0.5119047619047619,0.5832705350414469,0.545262416343783,0.7780606769379032
XGBoost,0.8185,0.6608108108108108,0.36850037678975134,0.4731494920174166,0.7767605789387027
Tuned Random Forest,0.7808333333333334,0.50390625,0.5832705350414469,0.5406915822563745,0.7782984584437108
Optimized XGBoost,0.79,0.5235749472202674,0.560663149962321,0.5414847161572053,0.7817005320532533
